,Date,Control.mean,Control_2.mean,plot1.mean,plot2.mean,plot3.mean,plot4.mean,plot1.15.mean,plot2.15.mean,plot3.15.mean,plot4.15.mean,AirTC.mean,RH.mean,Control.std.error,Control_2.std.error,plot1.std.error,plot2.std.error,plot3.std.error,plot4.std.error,plot1.15.std.error,plot2.15.std.error,plot3.15.std.error,plot4.15.std.error,AirTC.std.error,RH.std.error,1dcon,2dcon,3dcon,4dcon,1dcon.std.error,2dcon.std.error,3dcon.std.error,4dcon.std.error
26,6/7/2022,0.365,0.3683,0.356760417,0.327864583,0.300357639,0.41825,0.373371528,0.391597222,0.259663194,0.406673611,19.2925,63.49447917,0.000253185,0.000389279,0.000334745,0.000170324,0.000154863,0.000261434,0.000233253,0.000189124,0.000188645,0.00036129,0.628561851,1.947524046,0.005071528,0.023297222,-0.108636806,0.038373611,0.000233253,0.000189124,0.000188645,0.00036129
27,6/8/2022,0.351916667,0.3538125,0.346777778,0.323097222,0.300861111,0.409229167,0.361315972,0.380541667,0.259944444,0.389118056,19.23510417,55.33375,0.000458991,0.00038369,0.000422118,0.000127763,0.000142867,0.00033763,0.000375653,0.000331105,0.00015924,0.000441179,0.611336471,2.123944904,0.007503472,0.026729167,-0.093868056,0.035305556,0.000375653,0.000331105,0.00015924,0.000441179
28,6/9/2022,0.337479167,0.337729167,0.335826389,0.317347222,0.300506945,0.399027778,0.347965278,0.367913194,0.25884375,0.372770833,20.13864583,60.03427083,0.000332778,0.000325617,0.00030477,0.000174237,0.000143149,0.000312221,0.000329528,0.000245785,0.000172836,0.000335712,0.913995885,2.647894272,0.010236111,0.030184028,-0.078885417,0.035041667,0.000329528,0.000245785,0.000172836,0.000335712
29,6/10/2022,0.326114583,0.326260417,0.327541667,0.31140625,0.300861111,0.389399306,0.337260417,0.357840278,0.259604167,0.359652778,22.33510417,59.2946875,0.000289763,0.000290283,0.000313218,0.000182521,0.000190392,0.00033064,0.000358148,0.000245623,0.000232492,0.000357355,0.900220952,2.524467518,0.011,0.031579861,-0.06665625,0.033392361,0.000358148,0.000245623,0.000232492,0.000357355
30,6/11/2022,0.317114583,0.317145833,0.320256944,0.305034722,0.302125,0.380121528,0.325486111,0.346895833,0.260961806,0.346427083,24.65104167,54.73260417,0.000316529,0.000312383,0.000418053,0.000218285,0.000218104,0.000399168,0.000403322,0.000276664,0.000260915,0.000381457,1.117508335,2.8225038,0.008340278,0.02975,-0.056184028,0.02928125,0.000403322,0.000276664,0.000260915,0.000381457
31,6/12/2022,0.308854167,0.308666667,0.313024306,0.299055556,0.303142361,0.370975694,0.313145833,0.336663194,0.261680556,0.332701389,21.2696875,68.48385417,0.000285996,0.000280846,0.000282758,0.000198045,0.000163026,0.000318196,0.000343479,0.000251142,0.000192824,0.000351877,0.98369271,2.656874369,0.004479167,0.027996528,-0.046986111,0.024034722,0.000343479,0.000251142,0.000192824,0.000351877
32,6/13/2022,0.303010417,0.29984375,0.305996528,0.291604167,0.301715278,0.360590278,0.302145833,0.32625,0.260159722,0.3195,22.72075,54.77208333,0.000411324,0.000307554,0.000349934,0.000236595,0.000204957,0.000412035,0.000303119,0.000201481,0.000222185,0.000361897,1.159107254,3.205985421,0.002302083,0.02640625,-0.039684028,0.01965625,0.000303119,0.000201481,0.000222185,0.000361897
33,6/14/2022,0.300322917,0.293197917,0.301746528,0.285197917,0.300670139,0.352024306,0.294277778,0.317545139,0.258784722,0.308069444,18.0901875,59.29208333,0.000365597,0.000337242,0.000282392,0.000194502,0.000176086,0.000287077,0.000295831,0.000213296,0.000167758,0.000266964,0.802148496,2.182947468,0.001079861,0.024347222,-0.034413194,0.014871528,0.000295831,0.000213296,0.000167758,0.000266964
34,6/15/2022,0.295854167,0.287666667,0.296645833,0.278590278,0.297760417,0.344038194,0.286274306,0.309559028,0.256170139,0.298902778,19.2751875,52.603125,0.000391516,0.000395885,0.000327128,0.000188709,0.000199945,0.000292027,0.000338339,0.000177601,0.000201964,0.000224744,1.137245607,3.449193979,-0.001392361,0.021892361,-0.031496528,0.011236111,0.000338339,0.000177601,0.000201964,0.000224744
35,6/16/2022,0.2935625,0.284083333,0.292326389,0.273986111,0.297302083,0.337767361,0.2813125,0.305135417,0.25571875,0.29115625,21.81402083,58.99072917,0.000459026,0.00046256,0.00031414,0.000138735,0.000220428,0.000244885,0.000354717,0.000211659,0.000242948,0.000271626,1.102168198,2.541375203,-0.002770833,0.021052083,-0.028364583,0.007072917,0.000354717,0.000211659,0.000242948,0.000271626
36,6/17/2022,0.29571875,0.285666667,0.292326389,0.272996528,0.30009375,0.336590278,0.281930556,0.305861111,0.258288194,0.289746528,22.340625,70.9321875,0.000316125,0.000322635,0.000215674,8.21E-05,0.000120175,0.000128577,0.000264995,0.000145403,0.000146567,0.000123381,0.742230839,2.286409011,-0.003736111,0.020194444,-0.027378472,0.004079861,0.000264995,0.000145403,0.000146567,0.000123381
