Sampling date,Sample ID,Treatment,Plot,Rep,%N,%CP,Grass (g),Forb (g),ANPP (g),Note
6/13/22,JN11,JN,1,1,1.611,10.06875,37.68,0,37.68,
6/13/22,JN12,JN,1,2,1.6842,10.52625,30.45,3.44,33.89,
6/13/22,JN13,JN,1,3,1.6419,10.261875,23.07,0,23.07,
6/13/22,JN14,JN,1,4,1.5321,9.575625,24.28,0.49,24.77,
6/13/22,JN21,JN,2,1,1.8495,11.559375,37.52,0,37.52,
6/13/22,JN22,JN,2,2,1.6145,10.090625,20.75,0,20.75,
6/13/22,JN23,JN,2,3,1.4507,9.066875,30.14,0,30.14,
6/13/22,JN24,JN,2,4,1.6738,10.46125,24.86,0,24.86,
6/13/22,JN31,JN,3,1,2.0237,12.648125,21.82,0,21.82,
6/13/22,JN32,JN,3,2,1.5814,9.88375,21.32,0,21.32,
6/13/22,JN33,JN,3,3,1.706,10.6625,33.11,0,33.11,
6/13/22,JN34,JN,3,4,2.3737,14.835625,1.82,0,1.82,
6/13/22,JN41,JN,4,1,1.7417,10.885625,35.51,0,35.51,
6/13/22,JN42,JN,4,2,1.7522,10.95125,30.85,0,30.85,
6/13/22,JN43,JN,4,3,2.0787,12.991875,21.8,0,21.8,
6/13/22,JN44,JN,4,4,2.3556,14.7225,12.19,0,12.19,
6/13/22,JNL11,JN,1,1,1.7156,10.722,29.07,0,29.07,
6/13/22,JNL12,JN,1,2,1.5721,9.825,26.65,14.72,41.37,
6/13/22,JNL13,JN,1,3,1.5824,9.89,29.5,0,29.5,
6/13/22,JNL14,JN,1,4,1.3749,8.593,28.46,0,28.46,
6/13/22,JNL21,JN,2,1,1.7132,10.708,43.81,0,43.81,
6/13/22,JNL22,JN,2,2,1.6718,10.449,31.8,0,31.8,
6/13/22,JNL23,JN,2,3,1.5323,9.577,23.59,0,23.59,
6/13/22,JNL24,JN,2,4,1.7096,10.685,42.06,0,42.06,
6/13/22,JNL31,JN,3,1,1.8654,11.659,24.51,0,24.51,
6/13/22,JNL32,JN,3,2,1.515,9.469,18.56,0,18.56,
6/13/22,JNL33,JN,3,3,1.5309,9.568,19.03,0,19.03,
6/13/22,JNL34,JN,3,4,1.8164,11.352,14.58,0,14.58,
6/13/22,JNL41,JN,4,1,1.5595,9.747,35.53,0,35.53,
6/13/22,JNL42,JN,4,2,1.3662,8.539,36.81,0,36.81,
6/13/22,JNL43,JN,4,3,1.5783,9.864,22.97,0,22.97,
6/13/22,JNL44,JN,4,4,1.8326,11.454,21.87,0,21.87,
7/27/22,JL12,JL,1,2,0.9326,5.829,40.29,0,40.29,
7/27/22,JL13,JL,1,3,1.0711,6.695,30.45,0,30.45,
7/27/22,JL14,JL,1,4,0.9714,6.071,43.26,0,43.26,
7/27/22,JL21,JL,2,1,1.3596,8.498,33.74,0,33.74,
7/27/22,JL22,JL,2,2,1.2735,7.96,32.78,0,32.78,
7/27/22,JL23,JL,2,3,1.1985,7.491,28.86,0,28.86,
7/27/22,JL24,JL,2,4,1.0577,6.611,51.91,0,51.91,
7/27/22,JL31,JL,3,1,1.005,6.281,21.18,0,21.18,
7/27/22,JL32,JL,3,2,1.188,7.425,27.38,0,27.38,
7/27/22,JL33,JL,3,3,1.2376,7.735,23.35,0,23.35,
7/27/22,JL34,JL,3,4,1.1818,7.386,28.5,0,28.5,
7/27/22,JL41,JL,4,1,1.236,7.725,36.44,0,36.44,
7/27/22,JL42,JL,4,2,1.2089,7.556,39.81,0,39.81,
7/27/22,JL43,JL,4,3,1.3043,8.152,37.57,0,37.57,
7/27/22,JL44,JL,4,4,1.3535,8.459,49.27,0,49.27,
9/26/22,E11,E,1,1,1.0472,6.8,183.8,0,183.8,
9/26/22,E12,E,1,2,0.66786,4.3,278.4,0,278.4,
9/26/22,E13,E,1,3,1.1004,7.1,264.3,0,264.3,
9/26/22,E14,E,1,4,0.99632,6.4,340.5,0,340.5,
9/26/22,E21,E,2,1,1.2974,8.4,502.3,0,502.3,
9/26/22,E22,E,2,2,1.031,6.6,427,0,427,
9/26/22,E23,E,2,3,0.98207,6.3,426.8,0,426.8,
9/26/22,E24,E,2,4,1.1751,7.5,411.2,0,411.2,
9/26/22,E31,E,3,1,0.90925,5.9,231,0,231,
9/26/22,E32,E,3,2,0.60741,3.9,283,0,283,
9/26/22,E33,E,3,3,0.80586,5.2,197.7,0,197.7,
9/26/22,E34,E,3,4,0.69428,4.5,268.1,0,268.1,
9/26/22,E41,E,4,1,1.2338,8,307,0,307,
9/26/22,E42,E,4,2,0.94959,6.1,327.6,0,327.6,
9/26/22,E43,E,4,3,0.97676,6.3,319,0,319,
9/26/22,E44,E,4,4,1.1317,7.3,199.6,0,199.6,
9/26/22,C1,E,22,1,1.982,12.8,202.6,122.6,325.2,
9/26/22,C2,E,22,2,1.6802,10.8,295.7,32.5,328.2,
9/26/22,C3,E,22,3,1.3714,8.8,330.6,0,330.6,
9/26/22,C4,E,22,4,1.237,8,319,0,319,
9/26/22,JN11,endJN,1,1,1.7371,11.2,73.6,0,73.6,
9/26/22,JN12,endJN,1,2,1.696,10.5,67.5,0,67.5,
9/26/22,JN13,endJN,1,3,1.9394,12.6,45.6,0,45.6,
9/26/22,JN14,endJN,1,4,1.2952,8.4,57.3,0,57.3,
9/26/22,JN21,endJN,2,1,2.2846,14.7,117.1,4.5,121.6,
9/26/22,JN22,endJN,2,2,1.4824,9.6,84.5,0,84.5,
9/26/22,JN23,endJN,2,3,1.9458,12.6,142.4,0,142.4,
9/26/22,JN24,endJN,2,4,2.1312,13.7,58.2,0,58.2,
9/26/22,JN31,endJN,3,1,2.4046,15.6,59.4,0,59.4,
9/26/22,JN32,endJN,3,2,1.7712,11.4,45,0,45,
9/26/22,JN33,endJN,3,3,1.7474,11.2,78.3,0,78.3,
9/26/22,JN34,endJN,3,4,2.5922,16.2,17.1,0,17.1,
9/26/22,JN41,endJN,4,1,1.9132,12.3,81.3,0,81.3,
9/26/22,JN42,endJN,4,2,1.4945,9.6,93.9,0,93.9,
9/26/22,JN43,endJN,4,3,2.1037,13.6,115.2,0,115.2,
9/26/22,JN44,endJN,4,4,2.4927,16.1,79.4,0,79.4,
9/26/22,JL12,endJL,1,2,1.8733,12.2,85,0,85,
9/26/22,JL13,endJL,1,3,1.1107,7.2,52.9,0,52.9,
9/26/22,JL14,endJL,1,4,1.3015,8.5,55.3,0,55.3,
9/26/22,JL21,endJL,2,1,2.3548,15.6,48.1,0,48.1,
9/26/22,JL22,endJL,2,2,2.301,14.9,37.8,0,37.8,
9/26/22,JL23,endJL,2,3,2.1204,13.6,86.2,0,86.2,
9/26/22,JL24,endJL,2,4,1.8988,12.3,68.8,0,68.8,
9/26/22,JL31,endJL,3,1,1.2392,8.2,51.8,0,51.8,
9/26/22,JL32,endJL,3,2,1.6618,10.4,22.8,0,22.8,
