Sampling,Treatment,Plot,ANPP..g..mean,ANPP..g..std.error,CP.mean,CP.std.error
first,end,1,266.75,42.22510667,6.15,0.633113997
first,end,2,441.825,20.49521794,7.2,0.474341649
first,end,3,244.95,48.248702,4.875,0.4324679
first,end,4,348.3,29.86687128,6.925,0.444175266
first,end,22,325.75,25.06491572,10.1,1.075484387
second,endJL,1,64.4,10.32327467,9.3,1.497776129
second,endJL,2,60.225,10.79400875,14.1,0.729154762
second,endJL,3,39.725,7.033654219,9.725,0.845946216
second,endJL,4,73.075,5.792865583,10.425,0.991946739
second,endJN,1,73.8,7.539420213,10.675,0.875
second,endJN,2,116.8,6.82076661,12.65,1.103403825
second,endJN,3,54.95555556,5.823971323,13.6,1.334166406
second,endJN,4,92.25,5.210600459,12.9,1.353390803
first,JL,1,285,28.86498369,6.198333333,0.257972436
first,JL,2,368.225,41.38722888,7.64,0.399958956
first,JL,3,251.025,47.12388074,7.20675,0.318306031
first,JL,4,307.725,29.17768482,7.973,0.204863776
first,JN,1,309.7625,22.14526665,9.9328125,0.319671314
first,JN,2,318.1625,30.55001133,10.32464063,0.390129606
first,JN,3,193.4375,21.53017227,11.25975,0.842608094
first,JN,4,271.9125,31.19297332,11.14440625,0.758551338
cum,Jntotal,1,383.5625,7.539420213,,
cum,jntotal,2,434.9625,6.82076661,,
cum,jntotal,3,248.3930556,5.823971323,,
cum,jntotal,4,364.1625,5.210600459,,
cum,jltotal,1,349.4,10.32327467,,
cum,jltotal,2,428.45,10.79400875,,
cum,jltotal,3,290.75,7.033654219,,
cum,jltotal,4,380.8,5.792865583,,
